Sub_1,Sub_2,Sub_3,Sub_4,Sum,course,school,comb
6,4,0,0,10,law,Humanities,6 4 0 0 Humanities 10
7,5,1,0,13,law,Humanities,7 5 1 0 Humanities 13
6,8,0,0,14,public relations and advertising ,Humanities,6 8 0 0 Humanities 14
13,0,1,6,20,public relations and advertising ,Humanities,13 0 1 6 Humanities 20
1,7,16,2,26,media and journalism studies,Humanities,1 7 16 2 Humanities 26
0,1,6,20,27,media and journalism studies,Humanities,0 1 6 20 Humanities 27
0,15,1,18,34,linguistics and chinese,Humanities,0 15 1 18 Humanities 34
1,31,0,2,34,linguistics and chinese,Humanities,1 31 0 2 Humanities 34
0,13,12,11,36,linguistics and chinese,Humanities,0 13 12 11 Humanities 36
3,1,8,26,38,social work,Humanities,3 1 8 26 Humanities 38
21,17,1,0,39,social work,Humanities,21 17 1 0 Humanities 39
14,2,21,2,39,social work,Humanities,14 2 21 2 Humanities 39
9,9,20,1,39,social work,Humanities,9 9 20 1 Humanities 39
15,18,2,6,41,media and mass communication,Humanities,15 18 2 6 Humanities 41
11,28,1,2,42,media and mass communication,Humanities,11 28 1 2 Humanities 42
15,3,12,13,43,media and mass communication,Humanities,15 3 12 13 Humanities 43
0,4,11,28,43,media and mass communication,Humanities,0 4 11 28 Humanities 43
26,1,9,8,44,media and mass communication,Humanities,26 1 9 8 Humanities 44
11,34,0,0,45,media and mass communication,Humanities,11 34 0 0 Humanities 45
19,1,7,22,49,philosophy,Humanities,19 1 7 22 Humanities 49
0,20,16,14,50,philosophy,Humanities,0 20 16 14 Humanities 50
6,9,0,35,50,philosophy,Humanities,6 9 0 35 Humanities 50
6,22,3,20,51,demography,Humanities,6 22 3 20 Humanities 51
0,16,10,25,51,demography,Humanities,0 16 10 25 Humanities 51
15,16,16,4,51,demography,Humanities,15 16 16 4 Humanities 51
14,4,1,33,52,demography,Humanities,14 4 1 33 Humanities 52
11,26,4,11,52,demography,Humanities,11 26 4 11 Humanities 52
38,13,1,0,52,demography,Humanities,38 13 1 0 Humanities 52
8,5,24,16,53,demography,Humanities,8 5 24 16 Humanities 53
0,1,17,35,53,demography,Humanities,0 1 17 35 Humanities 53
9,25,8,12,54,phychology,Humanities,9 25 8 12 Humanities 54
24,12,2,16,54,phychology,Humanities,24 12 2 16 Humanities 54
30,9,5,10,54,phychology,Humanities,30 9 5 10 Humanities 54
9,2,13,32,56,sociology,Humanities,9 2 13 32 Humanities 56
33,15,7,2,57,sociology,Humanities,33 15 7 2 Humanities 57
0,39,2,16,57,sociology,Humanities,0 39 2 16 Humanities 57
45,4,3,5,57,sociology,Humanities,45 4 3 5 Humanities 57
33,21,1,3,58,sociology,Humanities,33 21 1 3 Humanities 58
1,16,40,1,58,sociology,Humanities,1 16 40 1 Humanities 58
41,0,13,4,58,sociology,Humanities,41 0 13 4 Humanities 58
9,36,2,12,59,sociology,Humanities,9 36 2 12 Humanities 59
9,20,1,29,59,sociology,Humanities,9 20 1 29 Humanities 59
34,3,1,21,59,sociology,Humanities,34 3 1 21 Humanities 59
11,2,45,1,59,sociology,Humanities,11 2 45 1 Humanities 59
40,2,6,11,59,sociology,Humanities,40 2 6 11 Humanities 59
1,23,30,6,60,sociology,Humanities,1 23 30 6 Humanities 60
26,7,7,20,60,sociology,Humanities,26 7 7 20 Humanities 60
46,1,12,2,61,development studies,Humanities,46 1 12 2 Humanities 61
25,2,34,0,61,development studies,Humanities,25 2 34 0 Humanities 61
0,1,26,34,61,development studies,Humanities,0 1 26 34 Humanities 61
36,14,6,5,61,development studies,Humanities,36 14 6 5 Humanities 61
0,8,18,36,62,development studies,Humanities,0 8 18 36 Humanities 62
4,3,52,3,62,development studies,Humanities,4 3 52 3 Humanities 62
13,25,23,2,63,development studies,Humanities,13 25 23 2 Humanities 63
31,1,29,2,63,development studies,Humanities,31 1 29 2 Humanities 63
3,24,3,34,64,development studies,Humanities,3 24 3 34 Humanities 64
13,11,23,17,64,development studies,Humanities,13 11 23 17 Humanities 64
31,16,16,1,64,development studies,Humanities,31 16 16 1 Humanities 64
0,3,19,42,64,development studies,Humanities,0 3 19 42 Humanities 64
9,5,2,49,65,development studies,Humanities,9 5 2 49 Humanities 65
21,1,40,3,65,development studies,Humanities,21 1 40 3 Humanities 65
11,3,48,4,66,economics,Humanities,11 3 48 4 Humanities 66
22,14,29,1,66,economics,Humanities,22 14 29 1 Humanities 66
37,11,9,9,66,economics,Humanities,37 11 9 9 Humanities 66
30,22,4,10,66,economics,Humanities,30 22 4 10 Humanities 66
22,0,42,3,67,economics,Humanities,22 0 42 3 Humanities 67
14,34,14,5,67,economics,Humanities,14 34 14 5 Humanities 67
5,7,25,30,67,economics,Humanities,5 7 25 30 Humanities 67
16,10,9,32,67,economics,Humanities,16 10 9 32 Humanities 67
20,20,3,24,67,economics,Humanities,20 20 3 24 Humanities 67
8,5,47,7,67,economics,Humanities,8 5 47 7 Humanities 67
4,52,0,12,68,economics,Humanities,4 52 0 12 Humanities 68
12,24,28,4,68,economics,Humanities,12 24 28 4 Humanities 68
2,14,3,50,69,economics,Humanities,2 14 3 50 Humanities 69
0,2,23,44,69,economics,Humanities,0 2 23 44 Humanities 69
8,27,1,34,70,economics,Humanities,8 27 1 34 Humanities 70
50,8,11,1,70,economics,Humanities,50 8 11 1 Humanities 70
0,8,47,16,71,business administration,Humanities,0 8 47 16 Humanities 71
1,37,8,25,71,business administration,Humanities,1 37 8 25 Humanities 71
3,14,6,48,71,business administration,Humanities,3 14 6 48 Humanities 71
0,45,10,18,73,business administration,Humanities,0 45 10 18 Humanities 73
6,63,1,3,73,business administration,Humanities,6 63 1 3 Humanities 73
0,7,12,54,73,business administration,Humanities,0 7 12 54 Humanities 73
20,6,4,44,74,business administration,Humanities,20 6 4 44 Humanities 74
3,24,27,21,75,business administration,Humanities,3 24 27 21 Humanities 75
52,21,0,2,75,business administration,Humanities,52 21 0 2 Humanities 75
25,13,18,19,75,business administration,Humanities,25 13 18 19 Humanities 75
51,9,12,3,75,business administration,Humanities,51 9 12 3 Humanities 75
38,11,6,20,75,business administration,Humanities,38 11 6 20 Humanities 75
8,34,31,2,75,business administration,Humanities,8 34 31 2 Humanities 75
0,14,28,33,75,business administration,Humanities,0 14 28 33 Humanities 75
35,8,7,26,76,public administration,Humanities,35 8 7 26 Humanities 76
8,1,30,37,76,public administration,Humanities,8 1 30 37 Humanities 76
10,9,11,46,76,public administration,Humanities,10 9 11 46 Humanities 76
0,22,18,36,76,public administration,Humanities,0 22 18 36 Humanities 76
10,24,21,22,77,public administration,Humanities,10 24 21 22 Humanities 77
3,6,11,57,77,public administration,Humanities,3 6 11 57 Humanities 77
33,3,40,1,77,public administration,Humanities,33 3 40 1 Humanities 77
38,20,14,5,77,public administration,Humanities,38 20 14 5 Humanities 77
50,17,4,6,77,public administration,Humanities,50 17 4 6 Humanities 77
12,4,60,2,78,public administration,Humanities,12 4 60 2 Humanities 78
9,25,17,27,78,public administration,Humanities,9 25 17 27 Humanities 78
30,14,8,26,78,public administration,Humanities,30 14 8 26 Humanities 78
8,18,0,52,78,public administration,Humanities,8 18 0 52 Humanities 78
17,30,30,2,79,public administration,Humanities,17 30 30 2 Humanities 79
0,7,55,17,79,public administration,Humanities,0 7 55 17 Humanities 79
37,30,2,10,79,public administration,Humanities,37 30 2 10 Humanities 79
1,18,13,47,79,public administration,Humanities,1 18 13 47 Humanities 79
32,10,23,15,80,public administration,Humanities,32 10 23 15 Humanities 80
60,14,5,1,80,public administration,Humanities,60 14 5 1 Humanities 80
27,28,21,4,80,public administration,Humanities,27 28 21 4 Humanities 80
33,16,14,17,80,public administration,Humanities,33 16 14 17 Humanities 80
3,74,2,1,80,public administration,Humanities,3 74 2 1 Humanities 80
4,0,1,76,81,political science,Humanities,4 0 1 76 Humanities 81
5,12,0,64,81,political science,Humanities,5 12 0 64 Humanities 81
8,27,2,44,81,political science,Humanities,8 27 2 44 Humanities 81
26,9,14,32,81,political science,Humanities,26 9 14 32 Humanities 81
27,20,22,12,81,political science,Humanities,27 20 22 12 Humanities 81
29,5,47,0,81,political science,Humanities,29 5 47 0 Humanities 81
6,13,42,21,82,political science,Humanities,6 13 42 21 Humanities 82
4,37,36,5,82,political science,Humanities,4 37 36 5 Humanities 82
32,0,33,17,82,political science,Humanities,32 0 33 17 Humanities 82
8,5,49,21,83,political science,Humanities,8 5 49 21 Humanities 83
23,42,9,9,83,political science,Humanities,23 42 9 9 Humanities 83
3,9,33,38,83,political science,Humanities,3 9 33 38 Humanities 83
22,1,19,41,83,political science,Humanities,22 1 19 41 Humanities 83
15,49,13,6,83,political science,Humanities,15 49 13 6 Humanities 83
24,36,20,3,83,political science,Humanities,24 36 20 3 Humanities 83
22,25,31,6,84,political science,Humanities,22 25 31 6 Humanities 84
20,43,13,8,84,political science,Humanities,20 43 13 8 Humanities 84
68,3,10,3,84,political science,Humanities,68 3 10 3 Humanities 84
30,0,54,0,84,political science,Humanities,30 0 54 0 Humanities 84
26,14,30,14,84,political science,Humanities,26 14 30 14 Humanities 84
12,38,10,24,84,political science,Humanities,12 38 10 24 Humanities 84
23,1,58,3,85,political science,Humanities,23 1 58 3 Humanities 85
8,14,24,39,85,political science,Humanities,8 14 24 39 Humanities 85
27,22,9,27,85,political science,Humanities,27 22 9 27 Humanities 85
10,2,54,19,85,political science,Humanities,10 2 54 19 Humanities 85
4,10,50,21,85,political science,Humanities,4 10 50 21 Humanities 85
51,11,19,4,85,political science,Humanities,51 11 19 4 Humanities 85
0,32,20,33,85,political science,Humanities,0 32 20 33 Humanities 85
0,75,8,2,85,political science,Humanities,0 75 8 2 Humanities 85
0,33,24,28,85,political science,Humanities,0 33 24 28 Humanities 85
25,3,42,16,86,science with education,Education,25 3 42 16 Education 86
39,27,10,10,86,science with education,Education,39 27 10 10 Education 86
7,30,12,37,86,science with education,Education,7 30 12 37 Education 86
1,9,5,71,86,science with education,Education,1 9 5 71 Education 86
6,0,7,73,86,science with education,Education,6 0 7 73 Education 86
18,50,16,2,86,science with education,Education,18 50 16 2 Education 86
4,16,19,48,87,science with education,Education,4 16 19 48 Education 87
22,47,1,17,87,science with education,Education,22 47 1 17 Education 87
4,14,15,54,87,science with education,Education,4 14 15 54 Education 87
12,35,39,1,87,science with education,Education,12 35 39 1 Education 87
29,23,20,15,87,science with education,Education,29 23 20 15 Education 87
57,22,2,7,88,science with education,Education,57 22 2 7 Education 88
10,25,38,15,88,science with education,Education,10 25 38 15 Education 88
11,45,27,5,88,science with education,Education,11 45 27 5 Education 88
